cid,text,llm_theme_summ,llm_theme_theme,lda_topic_id,lda_topic_keywords,bert_topic_keywords,bert_topic_name,lda_keywords_llm_truth,bert_keywords__llm_truth,llm_theme_llm_truth,llm_summ_llm_truth,lda_keywords_human_truth,bert_keywords_human_truth,llm_theme_human_truth,llm_summ_human_truth,,,,
bafyreidt76b5njarimdx4anblz6plfk7sipp47myvwox5ajyswnphhl6ay,"Big Oil wants to keep drilling in the North Sea - but together, we can stop them! Add your voice to the UK’s public consultation before it closes and help make a splash ahead of a major energy summit in London. Sign now […]",Corporate Climate Accountability,End fossil fuels,18,"pay, market, threat, term, fund","drilling, oil drilling, drill, oil, drilling oil, drilling mining, baby drill, drill baby, gas drilling, alaska",6_drilling_oil drilling_drill_oil,FALSE,FALSE,TRUE,FALSE,No,Yes,Yes,Yes,,,,
bafyreignh7s5sbrtmoerkkkuqgfap4hy6d5tfezh4ptomqup42ma3obovy,"8.Growth in Renewable Energy:
Solar, wind, and other renewable technologies are expanding, helping to reduce reliance on fossil fuels and fostering a cleaner, sustainable future.",Renewable Energy Momentum,Renewable Energy Momentum,43,"solar, energy, wind, power, panel",,-1_clean energy_social_green_bsky social,TRUE,FALSE,TRUE,TRUE,Yes,No,Yes,Yes,,,,
bafyreid2womneoiv463vkgng3kubgrafnm3szatdpih3ojvzklqcnr65yi,As if all of his servers don't create enough pollution?,Science under attack,Greenwashing deception,81,"pollution, air, city, show, focus","air pollution, air, pollution, exposure, air quality, quality, pm2, airpollution, asthma, mask",1_air pollution_air_pollution_exposure,FALSE,FALSE,FALSE,FALSE,No,No,No,No,,,,
bafyreihycdjrikmg2kyzqguevnafuypxmkw2ccpx7mcqteecdgqvhq46xy,"Great to bring MPs from across parties together to discuss the future of large-scale solar and how we ensure that renewable energy is community-led and locally owned. Huge thanks to SolarQ UK, campaigners from across the country, and everyone who joined the conversation.",Renewable Energy Momentum,Climate action collaboration,59,"across, electric, huge, vehicle, sun","solar, panels, solar energy, solar panels, battery, storage, grid, batteries, solar power, solar panel",0_solar_panels_solar energy_solar panels,FALSE,TRUE,TRUE,TRUE,Yes,No,Yes,Yes,,,,
bafyreie36f2pr3lumyb5qefydk6ij55kogohjhopow6kjd2xtpekxvkba4,"US needs CAN oil is because majority of your refineries r built for heavier crude than what comes from most of the US. CAN oil tends to be the heavier variety you need.

Drilling won't do anything to solve that. If you think you can change refineries over night. Good luck.

Wake up! #cdnpoli #USpoli",Climate legal accountability,End fossil fuels,36,"oil, drilling, gas, price, trump","drilling, oil drilling, drill, oil, drilling oil, drilling mining, baby drill, drill baby, gas drilling, alaska",6_drilling_oil drilling_drill_oil,TRUE,FALSE,FALSE,FALSE,No,No,No,No,,,,
bafyreihl6kcnqdftqrd6l3du652xdxavqt7givnsw74stqszkacbshaaye,"As global warming hit 1.5 degrees C, on path to threaten the continued existence of organized human life, we aren’t hearing about it at the DNC. Here’s why that’s a good thing.",Science under attack,Climate unease,88,"global, warming, course, ice, half",,-1_clean energy_social_green_bsky social,FALSE,FALSE,TRUE,FALSE,Yes,No,Yes,No,,,,
bafyreidcaxtysbsgtgaekgxkbu57rbof2gcnmm6zau2r4fi2xcy4luv5hi,"an item in latest New Scientist....for anyone, like myself, who lives in the Southern Hemisphere, the Milky Way is visible to greatest advantage at this time of year.
Even better if you can view it from well away from the luminescence of city light pollution   ...it is stunningly beautiful",Starry night preservation,Starry night preservation,57,"see, ca, find, old, light","light pollution, light, stars, night, sky, moon, lights, astronomy, lightpollution, telescope",43_light pollution_light_stars_night,FALSE,TRUE,TRUE,TRUE,No,Yes,Yes,Yes,,,,
bafyreid6gbed3ajriupidqsbcpsiivetk4mw7udqbfguwgpe57hwlij4ri,"End an 80% done project that will provide jobs and energy with much less pollution 
 This Administration doesn't care about the economy. Just it's own old lies.",EV transition barriers,Climate rollbacks,57,"see, ca, find, old, light",,-1_clean energy_social_green_bsky social,FALSE,FALSE,TRUE,FALSE,No,No,Yes,No,,,,
bafyreifsmbekqgv6qmi6fhzb5hpey5evzft4mzmg2rscnoftgruszssxkm,"Happy Earth Day!
Sydewire is proud to support forward-thinking tech that’s shaping a cleaner, greener tomorrow.
From smart ⚡ EV stations to energy-efficient systems 🏡, our solutions are built for a sustainable future 🌍.",Clean Energy Push,Renewable Energy Momentum,79,"ai, sustainable, sector, create, security",,-1_clean energy_social_green_bsky social,FALSE,FALSE,TRUE,TRUE,No,No,Yes,Yes,,,,
bafyreidtfx74zix4p6p7cqdmn62jbbp4sqwo6skc5qhaegsp3ruwvejgpu,"...yes, maybe AI hallucinations, welcomed by (i) authors, (ii) reviewers & (iii) editors who don't care, if they turn science into junk, as long as it helps to increase their (i) no. of paper, (ii) citations & (iii) profit margins",Science under attack,Science under attack,20,"health, care, anything, social, increase","junk, junk science, rfk, science, rfk jr, jr, debunked, does harm, abortion, drug",45_junk_junk science_rfk_science,FALSE,FALSE,TRUE,TRUE,No,No,Yes,Yes,,,,
