cluster,response,error
0,The cluster is *incoherent* because the labels are not consistent.,
1,The cluster is *incoherent* because the labels are not consistent.,
2,The cluster is *coherent* because the labels are consistent.,
3,The cluster is *coherent* because the labels are consistent.,
4,The cluster is *incoherent* because the labels are not consistent.,
5,The cluster is *incoherent* because the labels are not consistent.,
6,The cluster is *incoherent* because the labels are not consistent.,
7,The cluster is *coherent* because the labels are consistent.,
8,The cluster is *coherent* because the labels are consistent.,
9,The cluster is *coherent* because the labels are consistent.,
10,The cluster is *coherent* because the labels are consistent.,
11,The cluster is *coherent* because the labels are consistent.,
12,The cluster is *coherent* because the labels are consistent.,
13,The cluster is *incoherent* because the labels are not consistent.,
14,The cluster is *coherent* because the labels are consistent.,
15,The cluster is *incoherent* because the labels are not consistent.,
16,The cluster is *coherent* because the labels are consistent.,
17,The cluster is *incoherent* because the labels are not consistent.,
18,The cluster is *coherent* because the labels are consistent.,
19,The cluster is *incoherent* because the labels are not consistent.,
20,The cluster is *coherent* because the labels are consistent.,
21,The cluster is *incoherent* because the labels are not consistent.,
22,The cluster is *incoherent* because the labels are not consistent.,
23,The cluster is *coherent* because the labels are consistent.,
24,The cluster is *coherent* because the labels are consistent.,
25,The cluster is *coherent* because the labels are consistent.,
26,The cluster is *coherent* because the labels are consistent.,
27,The cluster is *incoherent* because the labels are not consistent.,
28,The cluster is *coherent* because the labels are consistent.,
29,The cluster is *coherent* because the labels are consistent.,
30,The cluster is *coherent* because the labels are consistent.,
31,The cluster is *incoherent* because the labels are not consistent.,
32,The cluster is *coherent* because the labels are consistent.,
33,The cluster is *incoherent* because the labels are not consistent.,
34,The cluster is *coherent* because the labels are consistent.,
35,The cluster is *incoherent* because the labels are not consistent.,
36,The cluster is *incoherent* because the labels are not consistent.,
37,The cluster is *incoherent* because the labels are not consistent.,
38,The cluster is *incoherent* because the labels are not consistent.,
39,The cluster is *incoherent* because the labels are not consistent.,
40,The cluster is *incoherent* because the labels are not consistent.,
41,The cluster is *coherent* because the labels are consistent.,
42,The cluster is *incoherent* because the labels are not consistent.,
43,The cluster is *coherent* because the labels are consistent.,
44,The cluster is *coherent* because the labels are consistent.,
45,The cluster is *incoherent* because the labels are not consistent.,
46,The cluster is *coherent* because the labels are consistent.,
47,The cluster is *coherent* because the labels are consistent.,
48,The cluster is *incoherent* because the labels are not consistent.,
49,The cluster is *incoherent* because the labels are not consistent.,
50,The cluster is *incoherent* because the labels are not consistent.,
51,The cluster is *incoherent* because the labels are not consistent.,
52,The cluster is *coherent* because the labels are consistent.,
53,The cluster is *incoherent* because the labels are not consistent.,
54,The cluster is *coherent* because the labels are consistent.,
55,The cluster is *incoherent* because the labels are not consistent.,
56,The cluster is *incoherent* because the labels are not consistent.,
57,The cluster is *coherent* because the labels are consistent.,
58,The cluster is *incoherent* because the labels are not consistent.,
59,The cluster is *incoherent* because the labels are not consistent.,
60,The cluster is *coherent* because the labels are consistent.,
61,The cluster is *incoherent* because the labels are not consistent.,
62,The cluster is *incoherent* because the labels are not consistent.,
63,The cluster is *coherent* because the labels are consistent.,
64,The cluster is *coherent* because the labels are consistent.,
65,The cluster is *incoherent* because the labels are not consistent.,
66,The cluster is *coherent* because the labels are consistent.,
67,The cluster is *incoherent* because the labels are not consistent.,
68,The cluster is *incoherent* because the labels are not consistent.,
69,The cluster is *coherent* because the labels are consistent.,
70,The cluster is *coherent* because the labels are consistent.,
71,The cluster is *coherent* because the labels are consistent.,
72,The cluster is *coherent* because the labels are consistent.,
73,The cluster is *incoherent* because the labels are not consistent.,
74,The cluster is *coherent* because the labels are consistent.,
75,The cluster is *incoherent* because the labels are not consistent.,
76,The cluster is *coherent* because the labels are consistent.,
77,The cluster is *incoherent* because the labels are not consistent.,
78,The cluster is *coherent* because the labels are consistent.,
79,The cluster is *incoherent* because the labels are not consistent.,
80,The cluster is *incoherent* because the labels are not consistent.,
81,The cluster is *coherent* because the labels are consistent.,
82,The cluster is *coherent* because the labels are consistent.,
83,The cluster is *incoherent* because the labels are not consistent.,
84,The cluster is *incoherent* because the labels are not consistent.,
85,The cluster is *coherent* because the labels are consistent.,
86,The cluster is *coherent* because the labels are consistent.,
87,The cluster is *incoherent* because the labels are not consistent.,
88,The cluster is *incoherent* because the labels are not consistent.,
89,The cluster is *coherent* because the labels are consistent.,
90,The cluster is *coherent* because the labels are consistent.,
91,The cluster is *coherent* because the labels are consistent.,
92,The cluster is *coherent* because the labels are consistent.,
93,The cluster is *coherent* because the labels are consistent.,
94,The cluster is *coherent* because the labels are consistent.,
95,The cluster is *incoherent* because the labels are not consistent.,
96,The cluster is *coherent* because the labels are consistent.,
