cluster,topk_rank,cid,probability,text
0,1,bafyreic7fo5xbxgi75dt7gxavznzcnthh6d7nnkupfaykpphzh3yybp2he,1.0,"Gee, what would Canada do without americans telling them how to manage their country. The country soooooo smart they elected a convicted felon as their leader. A climate change denier. A fascist. Hopefully, they will learn something from mega fire burning  in the US"
0,2,bafyreiebaxoy5zbuh5nuqjyyz6seyy6lw7qwvb4xaljxaqmar2pbuanazu,1.0,"Oh look, something that directly impacts Newfoundland's very way of life is on the verge of collapse due to fossil fuel induced climate change. But @govnl.bsky.social position is ""all-in"" on oil-and-gas."
0,3,bafyreibylm6w34ybzut5dmrig4eycof4fxpv2sy3uij5g64q4sly22r5sy,1.0,"Jobs for Alberta, pollution for everyone else. And, let’s muzzle the scientists so no one notices."
0,4,bafyreigthivmxlyieiqb4v5eel7kr34r4jicavj2il33tgpcys6wlnyzre,1.0,"...Everyone has been suffering with this turmoil and the last thing we need in Canada is a reformacon government., Come hell or high water (inevitable with climate change) Trudeau and the Libs will fight for us...not just the wealthy."
0,5,bafyreif3kzjdkzt3dgadcc3deszcqekepvf3qusi2zavjvfko2tzwxfxcy,1.0,They love fossil fuel too Canada.  It’s going to burn us to the ground.  Everything good other than that.
1,1,bafyreib32yrqayv3xlzerx435je3755qiwpkqzsbw5w2iqq4dirid3cefq,1.0,"Cardinal Cupich says Pope Leo XIV is “going to be a voice” for immigration, climate change

https://www.europesays.com/2069635/

Cardinal Cupich says Pope Leo XIV is “going to be a voice” for immigration, climate change – CBS…"
1,2,bafyreidosahczjwz3udbdzgngv4epqscybywxl43fgktyauicthsnlqc5i,1.0,"""In his encyclical Laudato Si’, (2015) Pope Francis brought a moral perspective to the issue of climate change.
He pointed out that in order to improve the lives of the poor, they needed to live in conditions that they could flourish and survive"""
1,3,bafyreici5zaxwgkfkrshgmtn4o2vc7s4nifvflmdrbrpxsznpko7b3x3tq,1.0,"www.ncronline.org/earthbeat/vi...
As we stand at this crossroads, Francis' papacy reminds us that we have a choice. We can continue down the path of extraction, pollution and destruction, or we can choose regeneration, harmony and care..."
1,4,bafyreihnfcn2tjc2kp2zxfukgrnnjjxt57xu3brrdmyph6vsypr4cw24fi,1.0,He also STRONGLY advocated for public health protections during COVID and consistently counseled action on climate change. A hugely consequential papacy.
1,5,bafyreigmkgt7xph426ln5qq2tttokslbqkxyd4sh4w6e7gfyjrfsd5zpcm,1.0,"The initial research I've done indicates that he was likely a compromise between the conservative and progressive Cardinals.
Cs: uninterested in supporting us gays or us womenses.
Ps: vocal support of immigrants/workers, wants the church more involved in climate change, high role under Francis"
2,1,bafyreihmkmzxdrlhct6oowy2zr66jjsfjljqg7bvj7hx3um5y3fcblpj7m,1.0,📢 International Court of Justice will hand down its first-ever opinion on climate change.
2,2,bafyreigdkmot6q4wxfu2gipbnrggncwpe2bmzid2ity3owvooyguu5wsh4,1.0,Still working through the ICJ advisory opinion on climate change but the discussion on the salience of the polluter pays principle for international law (page 56) is interesting. www.icj-cij.org/sites/defaul...
2,3,bafyreidfhjm6sjy4qbz6yehwkew4hvxzh4575tbijixdqgs5oj3y62dyoq,1.0,"UN International Court of Justice set to deliver landmark opinion on climate change today over state's obligations to tackle climate crisis: 

www.independent.co.uk/news/netherl..."
2,4,bafyreie5g4njmdzz22h55eyeacrvu7xmanqbzzmfvtqk6ckqtpe4b5pvcq,1.0,"WATCH LIVE: International Court of Justice gives opinion on obligations of states and climate change

www.youtube.com/watch?v=1Gc2..."
2,5,bafyreicdurg3hvoqyvigonsafxkgtdjow3vhz45jv5wmx65q47ja5lr4um,1.0,"In landmark opinion, World Court says countries must address climate change threat - Reuters"
3,1,bafyreiawazp24hi6wazuwn3w35ns46giyhuipst3zmzzw7mi2yvft5la4q,1.0,"Is Denmark vs Scotland on TV? Kick-off, channel and how to watch World Cup qualifier

https://www.europesays.com/2386083/

Your support helps us to tell the story From reproductive rights to climate change to Big Tech, The…"
3,2,bafyreidxbyfledqfjqaas7trkpkw4q5whrpacnbzzypzumi4sezxlfbvmu,1.0,"US issues solar panel spy warning

https://www.europesays.com/uk/415447/

Your support helps us to tell the story From reproductive rights to climate change to Big Tech, The…#uk #news #uknews"
3,3,bafyreiabj5f3paxooq3yoiam5ldem5hbpuba4ddnx33d6jccdbtdoqmiry,1.0,"UK Eurovision 2025 hopefuls Remember Monday explain ‘What the Hell Just Happened?’: ‘There have been so many nights like that for us’

https://www.byteseu.com/1019678/

Your support helps us to tell the story From reproductive rights to climate change to Big Tech, The Independent is on the ground …"
3,4,bafyreigplu2imjtobgyu6sn4dlbgor5yrhfnew5no5jglilxumsqpo6cha,1.0,"Warning over taking certain medication with you on holiday

https://www.europesays.com/uk/343921/

Your support helps us to tell the story From reproductive rights to climate change to Big Tech, The…#uk #news #uknews"
3,5,bafyreihkmt3ibfwnr67edubscwei7zmmyhbn45kbtyezwb5wamlq4qcpue,1.0,"The state of the Premier League is making everyone lose their minds

https://www.eucup.com/1040384/

Your support helps us to tell the story From reproductive rights to climate change to Big Tech, The Independent is on the ground when the story is developing. Whether it’s investigating the …"
4,1,bafyreicaj4vkqkbskgpzmyoobcturgpvkpzvon5iuvni7wjv2t463u4rbu,1.0,"The riches thought to lie beneath Greenland's icy terrain have been coveted for more than a century. But how easy are they to access, and will climate change make any difference?

www.bbc.com/future/artic..."
4,2,bafyreifmd5amfrgpxpylvbthnrguf7tbwk7kafa7becsq2h2fc2x3bdv64,1.0,"Greenland appoints first Arctic ambassador, pledges sustainable development"
4,3,bafyreiaw4uotqm6p3shqe7j7vs7xvc3v4nyjzpaiq3336vsu2urhblznqa,1.0,"The U.S. has no business in Greenland. Past military bases have already left pollution and environmental damage—why repeat history? Greenland belongs to its people, not Washington’s strategic interests. More bases mean more contamination, more disruption, and less sovereignty. #HandsOffGreenland"
4,4,bafyreig33mnespeiwzigs3j4u7zze55e7aqycnhvnrkey5cbjk7aip6dge,1.0,"Wonder how much the vanZe farce trip cost the USA taxpayer?   It was certainly counterproductive and likely Denmark will kick them out of Greenland entirely.  🇬🇱🇩🇰. It caused pollution in many ways, damaged the environment and goodwill."
