id,text,topics,topicgpt_correct
bafyreidt76b5njarimdx4anblz6plfk7sipp47myvwox5ajyswnphhl6ay,"Big Oil wants to keep drilling in the North Sea - but together, we can stop them! Add your voice to the UK’s public consultation before it closes and help make a splash ahead of a major energy summit in London. Sign now […]",[2] Fossil Fuels; [2] Energy Policy and Transition,Yes
bafyreignh7s5sbrtmoerkkkuqgfap4hy6d5tfezh4ptomqup42ma3obovy,"8.Growth in Renewable Energy:
Solar, wind, and other renewable technologies are expanding, helping to reduce reliance on fossil fuels and fostering a cleaner, sustainable future.",[2] Renewable Energy,Yes
bafyreid2womneoiv463vkgng3kubgrafnm3szatdpih3ojvzklqcnr65yi,As if all of his servers don't create enough pollution?,[1] Environment,Yes
bafyreihycdjrikmg2kyzqguevnafuypxmkw2ccpx7mcqteecdgqvhq46xy,"Great to bring MPs from across parties together to discuss the future of large-scale solar and how we ensure that renewable energy is community-led and locally owned. Huge thanks to SolarQ UK, campaigners from across the country, and everyone who joined the conversation.",[2] Renewable Energy; [2] Energy Policy and Transition,Yes
bafyreie36f2pr3lumyb5qefydk6ij55kogohjhopow6kjd2xtpekxvkba4,"US needs CAN oil is because majority of your refineries r built for heavier crude than what comes from most of the US. CAN oil tends to be the heavier variety you need.

Drilling won't do anything to solve that. If you think you can change refineries over night. Good luck.

Wake up! #cdnpoli #USpoli",[2] Fossil Fuels,Yes
bafyreihl6kcnqdftqrd6l3du652xdxavqt7givnsw74stqszkacbshaaye,"As global warming hit 1.5 degrees C, on path to threaten the continued existence of organized human life, we aren’t hearing about it at the DNC. Here’s why that’s a good thing.",[1] Environment; [2] Climate Change; [2] Climate Change Communication and Public Perception,Yes
bafyreidcaxtysbsgtgaekgxkbu57rbof2gcnmm6zau2r4fi2xcy4luv5hi,"an item in latest New Scientist....for anyone, like myself, who lives in the Southern Hemisphere, the Milky Way is visible to greatest advantage at this time of year.
Even better if you can view it from well away from the luminescence of city light pollution   ...it is stunningly beautiful",[1] Environment,Yes
bafyreid6gbed3ajriupidqsbcpsiivetk4mw7udqbfguwgpe57hwlij4ri,"End an 80% done project that will provide jobs and energy with much less pollution 
 This Administration doesn't care about the economy. Just it's own old lies.",[1] Energy; [2] Pollution; [2] Energy Policy and Transition,Yes
bafyreifsmbekqgv6qmi6fhzb5hpey5evzft4mzmg2rscnoftgruszssxkm,"Happy Earth Day!
Sydewire is proud to support forward-thinking tech that’s shaping a cleaner, greener tomorrow.
From smart ⚡ EV stations to energy-efficient systems 🏡, our solutions are built for a sustainable future 🌍.",[2] Renewable Energy; [2] Sustainable Development,Yes
bafyreidtfx74zix4p6p7cqdmn62jbbp4sqwo6skc5qhaegsp3ruwvejgpu,"...yes, maybe AI hallucinations, welcomed by (i) authors, (ii) reviewers & (iii) editors who don't care, if they turn science into junk, as long as it helps to increase their (i) no. of paper, (ii) citations & (iii) profit margins",[1] Social Justice,No
bafyreihtry46lfcpzk2shdh4ojxvtfhpigdewjinhmpm7wct5qnsttuu4a,My bears coming over and I'm struggling to find the energy to clean my room 😭,,No
bafyreif7ar4oleld7d736hnf7cpp5puvjwtgg2il2lj3yy6psxotvhs65y,"Yes, best of luck Nigel. A vital role. Perhaps you could spare the time for a chat over a coffee at some point as we live pretty close to each other :)

Can I also draw your attention to this clear verdict on fossil fuel based #CCS which the CCC has so far ignored👇

youtu.be/_CvWLnGNzDc?...",[2] Fossil Fuels; [2] Climate Change,Yes
bafyreidt6a3uuc7fjl4rvkxjk3rj2vzpziihshbjdc3vutk75qehkdjsl4,"Enercare to customers and a happy New Year:
""Thank you for being a valued customer. As a result, your residential HVAC will increase by 2.6% effective February, 1, 2025"".
This is how this massive, monopoly, fossil fuel corporation bleeds people in Canada.
Dump Enercare! 🤮🤮🤮
Go with a heat pump!",[2] Fossil Fuels; [2] Renewable Energy,Yes
bafyreidvlppvxbw3fdvwnpsohfd6gzdgasl2vnrzvr45jwlgtx6twkqkqa,"MAGA:""Climate change doesn't exist! It's not real! The facts don't support it!""

Also MAGA: Forbids us from researching it or anything else.

This regime IS authoritarian and IS a threat to freedom.",[2] Climate Change Communication and Public Perception; [2] Climate Change Policy and Regulation,Yes
bafyreiesmgjaayh6ebccbzmdkahlfjhyzczxqzx7l2yatsletnqdkojq3m,"👇 Worth adding (in the article link below) that he's the cabinet member for 'climate change, decarbonisation and sustainability'.....

.....yet, he's a FARMER.

Massive conflict of interest!!!!😡",[1] Agriculture; [1] Climate Science; [2] Climate Change Policy and Regulation; [2] Climate Justice and Socioeconomic Issues,Yes
bafyreiaw2zn34pmgwkwdhr3htkhtyvv3qnzdrrqyzpe2whazfxcqi2wopa,Fracking is evil,[2] Fossil Fuels,Yes
bafyreidggu3rrii5dodctmnbupkljogq5ghra5faerh4ao5ow6z7mxi5rm,"The European Union is making progress towards most of the UN Sustainable Development Goals, or #SDGs, a new Eurostat report has found. 🇪🇺 

sustainabilityonline.net?p=12096",[1] Sustainable Development,Yes
bafyreie7i3rayvwlotplyzgrkoe5l45fd3s3vq6jeyjad4uccstkxqq5um,"Rather than paying a fair share of fossil fuel-driven climate harms, Woods expects governments to pay his company to transition to less carbon-intensive energy sources (as defined by ExxonMobil)… #greenwashing",[2] Fossil Fuels; [2] Energy Policy and Transition; [2] Climate Change; [2] Climate Change Policy and Regulation,Yes
