Topic,Count,Name,Representation,Representative_Docs
-1,9418,-1_clean energy_social_green_bsky social,"['clean energy', 'social', 'green', 'bsky social', 'uk', 'green energy', 'bsky', 'warming', 'global warming', 'emissions']","['Japanese city to restrict how old people use ATMs in bid to stop scams https://www.alojapan.com/1255963/japanese-city-to-restrict-how-old-people-use-atms-in-bid-to-stop-scams/ Your support helps us to tell the story From reproductive rights to climate change to Big Tech, The Independent is on …', 'European economy sees growth of only 0.1% as scramble to get ahead of US tariffs goes into reverse https://www.europesays.com/2287613/ Your support helps us to tell the story From reproductive rights to climate change to Big Tech, The…', 'An eclipse expert’s guide to the August 2026 solar blackout https://www.europesays.com/uk/356557/ Your support helps us to tell the story From reproductive rights to climate change to Big Tech, The…#uk #news #uknews']"
0,433,0_solar_panels_solar energy_solar panels,"['solar', 'panels', 'solar energy', 'solar panels', 'battery', 'storage', 'grid', 'batteries', 'solar power', 'solar panel']","[""Ann Arbor is building its own publicly-owned, sustainable energy power grid to counter the outdated investor-owned utility The system will utilize rooftop solar, networked geothermal and battery storage to reduce opt-in members' power requirements techxplore.com/news/2025-03...?"", ""🌟 Tokyo Sets a Bold Example for Solar Power! From April, Tokyo will require rooftop solar panels on new homes to boost renewable energy and address the challenges around limited space. As part of the city's plan to increase renewable energy to 50% by 2030 🔋 www.reccessary.com/en/news/worl..."", 'arXiv:2503.02866v1 Announce Type: new Abstract: Large-scale battery energy storage systems (BESS) have found ever-increasing use across industry and society to accelerate clean energy transition and improve energy supply [1/9 of https://arxiv.org/abs/2503.02866v1]']"
1,363,1_air pollution_air_pollution_exposure,"['air pollution', 'air', 'pollution', 'exposure', 'air quality', 'quality', 'pm2', 'airpollution', 'asthma', 'mask']","[""This lab asks research volunteers to breathe in #toxic #fumes — and they do it willingly UBC's #AirPollution Exposure Lab tests how poor air quality can influence our physical #health #Environment #toxicity #microplastics #pollution #plastics ici.radio-canada.ca/rci/en/news/..."", '⚠️ AIR QUALITY NOTICE ⚠️ Today’s AQI is forecast to reach 105 due to elevated levels of ground-level ozone. Those who are unusually sensitive to air pollution should consider reducing time outdoors and closing their windows, especially during the afternoon and early evening.', 'New research shows air pollution doesn’t just harm lungs, it may be reshaping brains. Fine-particulate matter (PM2.5) has now been linked to Lewy body dementia, exposure triggers toxic protein clumps that kill nerve cells and spread through the brain. so about that #EV policy? #auspol..']"
2,338,2_doesn believe_believes_donald_trump,"['doesn believe', 'believes', 'donald', 'trump', 'change hoax', 'donald trump', 'doesn', 'thinks', 'believes climate', 'hoax']","['The reason climate change has been removed the Annual Threat Assessment because Trump thinks climate change is a hoax. Trump has erased all references to climate change and fired every government climate scientists. He accepted massive donations from the oil industries.', 'What Trump’s Cabinet Picks and Advisers Say About Climate Change. President-elect Donald Trump’s chief advisers would include one person who calls global warming an “existential” threat and some who don’t accept it as a problem at all. portside.org/2024-12-04/w...', 'trump thinks Climate Change is a ""Hoax"". With hurricanes, tornados, floods, fires, heat, cold getting more intense and often, America & the World cannot afford Donald trump as President. His excuses & blame cost lives.']"
3,326,3_ai_data centers_centers_data,"['ai', 'data centers', 'centers', 'data', 'ai data', 'data center', 'llm', 'chatbot', 'intelligence', 'robotics']","[""🌍 #AI data centers pose climate risks, but possible solutions exist. Could Nuclear energy be a game-changer, providing clean, reliable energy for these tech hubs? Let's explore sustainable options to keep AI innovation rolling while protecting our planet. 🚀 #AIEnergy #CleanTech #NuclearEnergy"", '""BEAUTIFUL, CLEAN COAL"": neither clean nor particularly helpful for AI. What AI really craves is stable and high-capacity power, which coal struggles to provide = too slow to ramp up + down, ill-suited for high-demand, fluctuating needs of AI data centers. oilprice.com/Energy/Natur...', 'Assistants, hold promise as effective tools for promoting sustainable practices within households. Our research investigated the application of Large Language Models (LLM) in enhancing smart home automation and promoting sustainable household [2/6 of https://arxiv.org/abs/2505.02802v1]']"
4,315,4_deforestation_trees_forest_palm oil,"['deforestation', 'trees', 'forest', 'palm oil', 'forests', 'palm', 'boycottpalmoil', 'rainforest', 'boycottpalmoil boycott4wildlife', 'boycott4wildlife']","['Famed #toothpaste maker #Colgate-Palmolive uses so-called ❌""sustainable""❌ #palmoil yet continue buying #deforestation and ecocide. Tell them you don\'t want dirty palm oil and #BoycottPalmOIl ⛔️ #Boycott4Wildlife @palmoildetect.bsky.social palmoildetectives.com/2021/02/09/c...', ""Big-eyed Krokosua Squeaking #Frogs 🐸 make a shrieking sound 🔊 when frightened. They're critically #endangered in #Ghana #WestAfrica due to #palmoil #deforestation Help them survive #herpetology #BoycottPalmOil 🌴☠️⛔️ #Boycott4Wildlife @palmoildetect.bsky.social palmoildetectives.com/2021/02/15/k..."", 'Stunning turkey-like #birds, blue-billed #Currasows 🪿🦜 are critically #endangered in #Colombia 🇨🇴 due to #PalmOil, illegal #Coca, soy and meat #deforestation. Help them and be #vegan 🥩🩸⛔️ #BoycottPalmOil 🌴🩸🚜🔥🚫 #Boycott4Wildlife @palmoildetect.bsky.social palmoildetectives.com/2021/02/18/b...']"
5,308,5_fires_wildfires_california_wildfire,"['fires', 'wildfires', 'california', 'wildfire', 'la', 'la fires', 'angeles', 'los angeles', 'los', 'winds']","[""Some reporters and scientists are blaming climate change for the lack of rain in LA. It's ridiculous. There's no trend in annual rainfall from 1877 to 2024. We have wet years and dry years. Climate change isn't responsible for the LA fires. Gavin Newsom and Karen Bass are."", ""🔥 The Unavoidable Truth: Climate Change Is Fueling California's Wildfires 🔥 The skies over Los Angeles are literally burning right now. As we speak, wildfires are raging through the Palisades, fueled by an 8-month drought that's left the land parched and vulnerable. (A thead)"", 'Climate change made LA fires worse, scientists say Climate change was a major factor behind the hot, dry weather that gave rise to the devastating LA fires, a scientific study has confirmed. www.bbc.co.uk/news/article...']"
6,286,6_drilling_oil drilling_drill_oil,"['drilling', 'oil drilling', 'drill', 'oil', 'drilling oil', 'drilling mining', 'baby drill', 'drill baby', 'gas drilling', 'alaska']","['plans…to eliminate federal protections across millions of acres of Alaskan wilderness, which would allow drilling and mining in some of the last remaining pristine wilderness in the country. [and] opened thousands of acres of land in Nevada and New Mexico to oil and gas drilling and…mining.', ""Alaska has filed a lawsuit challenging the Biden administration's December 2024 decision to offer oil and gas drilling leases in a portion of the federal Arctic National Wildlife Refuge with restrictions reut.rs/3PrwRNl"", 'The Trump administration is seeking to open up oil drilling in Alaska’s Arctic National Wildlife Refuge. The administration is also supporting a natural gas pipeline through the Wildlife Refuge. apnews.com/article/trum...']"
7,275,7_australia_auspol_australian_au,"['australia', 'auspol', 'australian', 'au', 'dutton', 'farage', 'australians', 'com australia', 'australia ne', 'com au']","['Australian Opposition leader Dutton is a hard-RW, Trump/GOP admirer, profusely lies, adopts same divisive DARVO style #fearconditioning tactics to con voters - a pro billionaire fossil fuel proliferation bigot party. Current Labor Govt on front foot re economy www.smh.com.au/politics/fed... #auspol', 'Owners of Australia’s coal power plants say they cannot keep their ageing fossil-fuel electricity generators running long enough for Opposition Leader Peter Dutton to build his planned fleet of nuclear reactors."" #auspol www.smh.com.au/politics/fed...', 'Hear that @albomp.bsky.social & @australianlabor.bsky.social? #auspol ""Failure.. to take.. action to protect the climate.. from.. emissions – including through fossil fuel production.., the granting of fossil fuel exploration licences.. may constitute a.. wrongful act"" www.abc.net.au/news/2025-07...']"
8,273,8_canada_carney_canadian_alberta,"['canada', 'carney', 'canadian', 'alberta', 'canadians', 'smith', 'poilievre', 'cdnpoli', 'mark carney', 'ottawa']","[""“The focus should be on interprovincial powe grids and interties - between Ontario and Quebec and Quebec and Atlantic Canada and between Alberta and BC,” says Clean Energy Canada's Evan Pivnick. www.nationalobserver.com/2025/06/09/n..."", ""Don't believe the hype - there are no new markets for Canadian oil & gas And no amount of subsidies or pipelines will change the economics of terminal decline in the fossil fuel sector It's time to decarbonize. Latest @nationalobserver.com #cdnpoli www.nationalobserver.com/2025/02/19/o..."", 'Conservative Party Leader Pierre Poilievre’s new promise to kill industrial carbon pricing would eliminate the central plank of Canada’s emission-reduction efforts, while making Canada’s economy less competitive in the long run. www.nationalobserver.com/2025/03/18/a...']"
