cid,text,llm_theme_summ,llm_theme_theme,lda_topic_id,lda_topic_keywords,topic_keywords,topic_name
bafyreigqpeu6pzrjhv5susnakmgdsuop3awbey5ksszkclv5ldootpkbde,"Always about the massive profits instead of slowing down climate change. 
#WhatAreWeDoing

www.bbc.co.uk/news/article...",Fossil fuel deception,Anti-Big Oil,39,"always, maybe, full, na, wonder",,-1_clean energy_social_green_bsky social
bafyreibkvdkul6ok63q4cvhqn6hj5aiclzr2pknsapoegutm3ipbieclz4,"Iâve been writing a screenplay that is centered around climate change and specifically whatâs happening in the arctic, so Iâm using pins to save articles that will help my understanding/research.

Looking forward to your documentary!",Climate justice action,Climate Wildfires,15,"climate, change, reality, yeah, oh",,-1_clean energy_social_green_bsky social
bafyreigiayqrxdjwpene7upp3jqleaa5dhlvvh3opyfee4gvzcfp7crr44,"In the UK the secondary legislation to remove illegal deforestation from supply chains inexplicably remains in limbo.

The UK wants to be a global leader, and to show progress at COP30. Steve Reed, Mary Creagh and DEFRA need to get on with implementing Schedule 17 of the Environment Act.",Deforestation & Wildlife Crisis,Anti-Deforestation,88,"global, warming, course, ice, half","deforestation, trees, forest, palm oil, forests, palm, boycottpalmoil, rainforest, boycottpalmoil boycott4wildlife, boycott4wildlife",4_deforestation_trees_forest_palm oil
bafyreidm6bevbhtp7nqsfik7jdn7s4y7oxehm5l3xwcfm3q5nlheo3y76m,Fueling the Distortion: How Oil Subsidies Skew Markets and Stifle Clean Energy www.earthday.org/fueling-the-...,Oil's Deceptive Greed,Anti-Big Oil,99,"energy, clean, renewable, green, bill",,-1_clean energy_social_green_bsky social
bafyreiccx6fehx4vybop4vei6ujpa5fgf3tlo2txbdpk73hg63zsxrjtou,"Mystical Norse Runes Canvas Tote: Eco-friendly Reusable Bag for Book Lovers & Sustainable Shoppers
#OntarioMade #Runes #Norse #MysticalTote #Sustainable #Bookish #Booksky #Booklovers #MadeinCanada
#BuyCanadian
#MadeInCanada
#CanadianOwned
#LocalLoveOntario
oldcronepagangifts.etsy.com/ca/listing/1...",Greenwashing deception,Anti-Deforestation,45,"could, cost, source, instead, would","fashion, sustainable fashion, cutt ly, cutt, eco friendly, eco, clothing, sustainablefashion, friendly, shop",29_fashion_sustainable fashion_cutt ly_cutt
bafyreidcp4pev4n6nlasrgscphomm5troq2txfajefkwlfda7n2haen4xy,Agriculture and tourism & climate change. @vrtnws.be @vtmnieuws.be @nieuws.nos.nl @nrc.nl @zdfde.bsky.social @spiegel.de @tf1info.bsky.social @lemonde.fr @bbcnewsnight.bsky.social @cnn.com @epe.es @centraldaitalia.bsky.social @vonderleyen.ec.europa.eu @vooruit-nu.bsky.social @vvdonline.bsky.social,Climate justice action,Climate Wildfires,3,"climate, change, real, believe, feel",,-1_clean energy_social_green_bsky social
bafyreiaztsezdqhbeswai6ch7k2g5onptenuqx6kbtlz4g2qgsarqsgsva,"Native plants help mitigate the effects of climate change by reducing carbon emissions and enhancing ecosystem resilience. To see native Wisconsin wildflowers and learn more about their benefits, join the UW Lakeshore Nature Preserve for their wildflower walk on April 27th!  

#climatesolutions",Trees for Climate,Anti-Deforestation,54,"environmental, far, growth, economic, effort",,-1_clean energy_social_green_bsky social
bafyreihe3cothhqctt34eh5xvz2hee4kuwf2koy3vsay7i7kazxuwejir4,"The Heinz Endowments: Nonprofits, Philanthropy Create Infrastructure To Help Bring Nearly $1 Billion In Regional, Statewide Clean Energy Funding To Pennsylvania  [PaEN] tinyurl.com/3he72vue",Renewable Energy Momentum,Clean energy,90,"emission, state, gas, greenhouse, administration",,-1_clean energy_social_green_bsky social
bafyreibn7s4a2cczu4n4ninjxyczi5ui6xspgbfelmxgilxqyidt2dwosy,"AES to support Meta's data centre growth with renewable energy
->Power Technology | #Data #RenewableEnergy | More info from EcoSearch",Renewable Energy Momentum,Clean energy,24,"climatechange, info, ecosearch, climate, change",,-1_clean energy_social_green_bsky social
bafyreia7iqnibsg337yxlw5omnkee6jzup762vixatshnvm35jxbkow4j4,"Frank Knapp Jr., president and CEO of the South Carolina Small Business Chamber of Commerce.  âOil exploration and drilling was a severe threat to the small business tourism and commercial fishing economy, not only of our state but the entire East Coast.",Corporate Climate Accountability,Anti-Drilling,11,"got, food, business, enough, sustainable","drilling, oil drilling, drill, oil, drilling oil, drilling mining, baby drill, drill baby, gas drilling, alaska",6_drilling_oil drilling_drill_oil
bafyreicmgpj7xoha6nfkwszed23slu7nqhqfyfl6nnkcdtesmxdco7gziq,"Prodigy Clean Energy and Lloyd's Register are to collaborate on completing the development of lifecycle requirements for Prodigy's Transportable Nuclear Power Plants. The goal's to achieve licensing & deployment for a project in Canada in next 5-7 years.
www.world-nuclear-news.org/articles/llo...",Clean Energy Push,Clean energy,7,"development, love, working, free, sustainable",,-1_clean energy_social_green_bsky social
bafyreicv54eu6ilaixktq6n3zff5uzt4a4753h5rxm334qmixc5md4kq64,"How Climate Change Will Supercharge West Coast Storms
->Science Blog | #ClimateChange | More info from EcoSearch",Climate injustice exposed,Climate Wildfires,24,"climatechange, info, ecosearch, climate, change",,-1_clean energy_social_green_bsky social
